horizon,improvement,model,official,subset
50,0.0,strongest_causal_baseline,True,all
50,0.005442,stage15_best,True,all
50,0.009176227786756534,stage16_best,True,all
50,0.009176227786756534,final_without_fallback,True,all
50,0.0,final_with_fallback,True,all
100,0.0114760269479769,final_without_fallback,False,all
100,0.0,final_with_fallback,False,all
50,0.0114760269479769,final_without_fallback,True,hard
50,0.00789362952398513,final_without_fallback,True,baseline_failure
50,0.0114760269479769,no_scene_ablation,True,hard
50,0.0114760269479769,no_goal_ablation,True,hard
50,0.0114760269479769,no_interaction_ablation,True,hard
