kind,name,rows,ade_all,ade_all_ci_low,ade_t50,ade_t50_ci_low,fde_t50,fde_t50_ci_low,easy_degradation_ci_high,switch_rate
domain_horizon,ETH_UCY|10,7223,0.14054095935930547,0.096360382348646,0.0,0.0,0.0,0.0,0.0,0.3096589598043287
domain_horizon,ETH_UCY|100,5433,0.02637860412148459,0.009570158757711032,0.0,0.0,0.0,0.0,0.0,0.14651205595435304
domain_horizon,ETH_UCY|25,6823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
domain_horizon,ETH_UCY|50,6422,0.024635928198443218,0.002820688160982139,0.024635928198443218,0.002820688160982139,0.10547615864239786,0.021040393452369632,0.0,0.20730821135679434
domain_horizon,TrajNet|10,6443,0.18592937079227193,0.090334369646888,0.0,0.0,0.0,0.0,0.0,0.31284598272026487
domain_horizon,TrajNet|100,3032,0.09875907078956987,0.018233137455094597,0.0,0.0,0.0,0.0,0.08498424090178214,0.31651275285839925
domain_horizon,TrajNet|25,5685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
domain_horizon,TrajNet|50,4927,0.0974649986079477,0.07757268874983766,0.0974649986079477,0.07757268874983766,0.23541252454524778,0.20742799135608553,0.011379580265625272,0.30255057167985927
domain_horizon,UCY|10,3060,0.36895573772764734,0.2258008800985441,0.0,0.0,0.0,0.0,0.0,0.6481481481481483
domain_horizon,UCY|100,1440,0.21388011127028828,0.15769940266155708,0.0,0.0,0.0,0.0,0.0,0.6814814814814815
domain_horizon,UCY|25,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
domain_horizon,UCY|50,2340,0.12289185352519343,0.04805040777131636,0.12289185352519343,0.04805040777131636,0.29223556763373615,0.21837117433171183,0.0,0.5844729344729345
