rank,variant,lambda,val_score,policy_slice_count,val_all,val_hard,val_t50,val_easy,test_all,test_hard,test_t50,test_easy
1,balanced,100.0,2.376170235571301,8,0.4408939341861645,0.43658325454875535,0.47362173836075094,-0.2874272837926436,0.24578838559866356,0.23749387838492075,0.22017071087030715,-0.25662729975593146
2,balanced,10.0,2.369941862885271,8,0.44013451419584537,0.4357128923024183,0.4700691304755126,-0.2871564010365578,0.24512998316718215,0.23728325309456044,0.2216185686994102,-0.2542836805035177
3,balanced,1.0,2.36813367076851,8,0.4400281111622941,0.4355844517540791,0.4686164498196167,-0.28345990703376156,0.24470770312755175,0.23696656083922774,0.22164674726242672,-0.25318571712523275
4,balanced,0.1,2.367400748872075,8,0.43991248642599234,0.4354645364501235,0.4683371876569974,-0.2818738293216021,0.24454938306036067,0.2368140105229527,0.22166210114298535,-0.2530012366745228
5,balanced,0.05,2.3673951483906914,8,0.4399129398911358,0.43546515995446,0.46832834851038885,-0.2818848677087401,0.24449147831730644,0.2367473212281468,0.2216622973999186,-0.2530019928859597
6,hard_failure_weighted,100.0,2.3531828126615766,8,0.4354740631413382,0.43129151678084987,0.4728711354667663,-0.2657706812577899,0.24797116750860437,0.23209264209461267,0.22013244099973894,-0.2700185252786067
7,hard_failure_weighted,10.0,2.3482459918130067,8,0.4346520700973818,0.43037061932588394,0.47104450706862955,-0.2702320117296976,0.23681937487341298,0.23120839337344823,0.2226885830800076,-0.22953068717495362
8,hard_failure_weighted,1.0,2.3464337294079938,8,0.4343965583843229,0.43009628679556877,0.47021463820884457,-0.2647719298986656,0.2354319858125914,0.2300890851601075,0.22309211180990307,-0.227037833312701
9,hard_failure_weighted,0.1,2.346223688053076,8,0.4343478429816914,0.430051463684627,0.47017356689101897,-0.26341614185430196,0.23523348248968623,0.22991968191199452,0.2231488267586088,-0.22664320880261446
10,hard_failure_weighted,0.05,2.346209978901405,8,0.4343450327369889,0.4300488123734487,0.47017000920250784,-0.2633423799945356,0.23517351197613356,0.22986924467804315,0.22314384430454848,-0.22656396052314076
11,source_balanced_all_hard_long,100.0,2.3156133624941506,8,0.4245065814002813,0.41990199152892627,0.48447738262631024,-0.2751462197686215,0.2199052689307781,0.207602929998709,0.2306511754604914,-0.2447896488856942
12,source_balanced_all_hard_long,10.0,2.3042247096178174,8,0.42230736559708104,0.41763526215413915,0.48173140502373324,-0.27248356885205927,0.21818341356793391,0.20741454971391815,0.23301022672436567,-0.2364842434832699
13,source_balanced_all_hard_long,1.0,2.3024691931015284,8,0.4220610145071997,0.41741913537563546,0.481154592662665,-0.25996632452499846,0.22304656255196498,0.2163558127676387,0.23349909678903213,-0.22729837435757372
14,source_balanced_all_hard_long,0.05,2.302087138367768,8,0.421976330996106,0.4173409184512079,0.4810874850669359,-0.25821423877775596,0.22284679215012793,0.21617785076838714,0.23359309289100583,-0.22716197725285925
15,source_balanced_all_hard_long,0.1,2.302084105379032,8,0.42197523934795367,0.4173398835516191,0.481089204464222,-0.2582786098402864,0.22285866896903617,0.2161895530433906,0.2335903855341671,-0.22716031992671049
16,all_hard_long_horizon,100.0,2.2887736387908415,8,0.4208326481839447,0.4168418147650682,0.4661707244299873,-0.25580205573975345,0.2050672993786864,0.19553210155934875,0.22011444777749078,-0.2167953557837461
17,all_hard_long_horizon,10.0,2.2831537157086763,8,0.41963153179540036,0.41552641449351324,0.46496139368891554,-0.2613674993580285,0.20208124993396626,0.19446033688169972,0.22292527912016424,-0.20545042081764198
18,all_hard_long_horizon,1.0,2.282436749990951,8,0.41950503710069453,0.4153791999926122,0.46473570293803035,-0.2571921945771628,0.20121518325646182,0.19410759181154524,0.22340456010852638,-0.20228161502597852
19,all_hard_long_horizon,0.1,2.2821808107213486,8,0.41945861337980006,0.4153359854021159,0.4646517802165928,-0.2559871376419206,0.20117661841248158,0.19410336404263273,0.22346078426817462,-0.20219211128250447
20,all_hard_long_horizon,0.05,2.282150123347354,8,0.4194508525116136,0.41532812074405745,0.46465165091626015,-0.2558725387877353,0.20116820473874042,0.19410218778770805,0.22345627551370195,-0.20208007535907602
21,long_horizon_weighted,100.0,2.2465683773130296,8,0.4121367313401978,0.4087565377713295,0.45743761287520546,-0.2447001914195056,0.21219284471238764,0.20571100458194624,0.21910304213770138,-0.2125892232678782
22,long_horizon_weighted,10.0,2.241268605272052,8,0.4110161826952492,0.4075445319190706,0.45647826624490284,-0.2413344526642921,0.21187578126834206,0.20637890017979632,0.22148066130160304,-0.20751117305256128
23,long_horizon_weighted,1.0,2.2331032271729305,8,0.40899390219211307,0.4054278641440363,0.45621006101612194,-0.2431354641467055,0.20082258121331686,0.19176800061119192,0.22194134190868686,-0.20865379358341607
24,long_horizon_weighted,0.05,2.2328464797388965,8,0.4089157195752998,0.4053433432851816,0.45626537395306355,-0.2421000183541121,0.20041811680000365,0.19137701128872142,0.22208255816624267,-0.2084527799920627
25,long_horizon_weighted,0.1,2.2328402642744525,8,0.4089151207740732,0.40534261818062434,0.45626264563662355,-0.2421467061022632,0.20043838876394426,0.19139843744207152,0.22207857283656018,-0.2084629400996374
