rank,variant,feature_mode,lambda,val_score,policy_slice_count,mean_train_weight,max_train_weight,val_all,val_hard,val_t50,val_easy,test_all,test_hard,test_t50,test_easy
1,proximity_close_weighted,stage42_am_features,100.0,2.416931576120985,8,1.0,1.2151703416478015,0.44837323217811875,0.44383398421624254,0.4858473289420322,-0.28802722107673506,0.25506106152262753,0.2373927398811264,0.22136644201311806,-0.29229256390643454
2,proximity_close_weighted,stage42_am_features,10.0,2.4146739138700957,8,1.0,1.2151703416478015,0.4476861367951186,0.44306331652729547,0.4860020423248378,-0.2866072126230197,0.2551235341773046,0.2382115802614755,0.2244522298209376,-0.2895856379645496
3,proximity_close_weighted,stage42_am_features,1.0,2.4132136992375903,8,1.0,1.2151703416478015,0.447321346588765,0.44267628008083915,0.48592104926807533,-0.28174769995179294,0.2546512777078447,0.23797732722793719,0.22523321482529646,-0.28823600686331174
4,proximity_close_weighted,stage42_am_features,0.1,2.412644667038119,8,1.0,1.2151703416478015,0.44719643804004794,0.4425515616104462,0.4858765905979525,-0.2806653244706725,0.2545657790507947,0.23790438026088456,0.2252490942395019,-0.288031843223332
5,occupancy_proxy_density_weighted,stage42_am_features,100.0,2.41196703317252,8,1.0,1.4604015960354113,0.44826831439890436,0.4436182849659702,0.4807386746767828,-0.2921601272092389,0.24990278952114275,0.23420997918270814,0.21821967940143894,-0.2732196464811366
6,occupancy_proxy_density_weighted,stage42_am_features,10.0,2.409287066604536,8,1.0,1.4604015960354113,0.44791844404440617,0.4431434235518671,0.47917977172059567,-0.2902072806337892,0.24921027658112727,0.23434240820171692,0.22045089517525485,-0.26894733222680456
7,occupancy_proxy_density_weighted,stage42_am_features,1.0,2.4068115122613576,8,1.0,1.4604015960354113,0.4475139807785956,0.44271793232156376,0.4782496596241196,-0.28447423405530703,0.24833705012609997,0.2336518147017701,0.220928435645813,-0.267169926583672
8,occupancy_proxy_density_weighted,stage42_am_features,0.1,2.4061562675746906,8,1.0,1.4604015960354113,0.4473850937590942,0.4425897765556518,0.4780860627553146,-0.28301669937456664,0.24798889698599236,0.23330659987753188,0.22099668713231757,-0.2669013564228975
9,physical_easy_safe_weighted,stage42_am_features,100.0,2.4023912805960412,8,1.0,1.248749074159355,0.4452545426075899,0.4409635128451831,0.48165905725865266,-0.27173444807689073,0.25341003855474,0.23598680082603285,0.22277696531761138,-0.2867233331184942
10,physical_easy_safe_weighted,stage42_am_features,10.0,2.3991332518017683,8,1.0,1.248749074159355,0.4445120736260836,0.4401253083940645,0.4811013453148799,-0.2688105989718861,0.25320202517742674,0.23665034507986304,0.22552206799730923,-0.2832130166116137
11,physical_easy_safe_weighted,stage42_am_features,1.0,2.3979446902595534,8,1.0,1.248749074159355,0.44420606512805416,0.43982984080176635,0.48102844320511395,-0.2630159745266696,0.2523144495696291,0.23593240898802015,0.22623299445360734,-0.281718061228604
12,physical_easy_safe_weighted,stage42_am_features,0.1,2.39733061232987,8,1.0,1.248749074159355,0.44408716002846227,0.43970939639607876,0.4808790140983339,-0.2612966066696909,0.25205984769359,0.23565907619785242,0.226307813039341,-0.2818152092958265
13,proximity_hard_long_weighted,stage42_am_features,100.0,2.340723267534737,8,1.0,1.4400974725122364,0.43259327316937224,0.4285453453637166,0.4716407015849322,-0.25766593648894376,0.2446315986908798,0.22787318575922233,0.22068940641156198,-0.26834980140501463
14,proximity_hard_long_weighted,stage42_am_features,10.0,2.312365464122313,8,1.0,1.4400974725122364,0.42570070885047717,0.42127801381012087,0.47099215994023946,-0.2709207027119066,0.20548434163660656,0.19698311926819367,0.22353339736355005,-0.21557558117961662
15,proximity_hard_long_weighted,stage42_am_features,1.0,2.311784016757318,8,1.0,1.4400974725122364,0.4256122999328438,0.4211613024091939,0.47074220223292174,-0.2672251165062035,0.20461642681637482,0.19650622939756457,0.22432535104061047,-0.21310726591862184
16,proximity_hard_long_weighted,stage42_am_features,0.1,2.311523398344731,8,1.0,1.4400974725122364,0.4255451625539114,0.42109259778511265,0.47074046582997986,-0.2663222458140113,0.20439084000895735,0.19633077014194977,0.22440434050670166,-0.21258469366790445
17,graph_augmented_proximity_hard_long,stage42_am_features_plus_graph_summary,100.0,2.291863352542608,8,1.0,1.4400974725122364,0.42235088832085177,0.41827874130026477,0.4630372303059248,-0.23362830365784504,0.20629748818405036,0.196077771455899,0.22036339536968008,-0.2233755199177918
18,graph_augmented_proximity_hard_long,stage42_am_features_plus_graph_summary,1.0,2.28884998854219,8,1.0,1.4400974725122364,0.4215581885212276,0.4174287446440026,0.46281446209623855,-0.2293850856509977,0.20377822520638345,0.1955634538916048,0.22413803450135616,-0.21231241553405078
19,graph_augmented_proximity_hard_long,stage42_am_features_plus_graph_summary,0.1,2.2887973078972825,8,1.0,1.4400974725122364,0.4215420187898753,0.41741558197890904,0.4628349097838075,-0.22867376554239782,0.20376050215483765,0.19560608406631186,0.22417788885389567,-0.21192843087504787
20,graph_augmented_proximity_hard_long,stage42_am_features_plus_graph_summary,10.0,2.288237564498201,8,1.0,1.4400974725122364,0.42148895753783755,0.41735890443389834,0.4625745393079339,-0.23164504260709096,0.20479261993378384,0.19618209645092954,0.22359234752840806,-0.21480937424178514
