claim,source_status,paper_role,allowed_language,forbidden_language,evidence,claim_boundary,deployment_boundary
protected dataset-local/raw-frame 2.5D multi-agent world-state candidate,supported,main framing only with strict boundary,main framing only with strict boundary,true 3D world model; foundation world model; metric prediction; seconds-level; Stage5C executed; SMC enabled,Stage42 paper matrix + module claim lock + M3W master summary,must retain dataset-local/raw-frame 2.5D caveat unless future calibration verifies otherwise,claim-specific protected use only
Stage26 SDD cost-aware selector remains the SDD deployable baseline,supported_cached_verified,baseline and historical development evidence,SDD deployable baseline under pixel-space raw-frame evaluation.,true 3D world model; foundation world model; metric prediction; seconds-level; Stage5C executed; SMC enabled,"M3W master summary records t50 +14.58%, hard/failure +11.23%, easy degradation 1.81%",must retain dataset-local/raw-frame 2.5D caveat unless future calibration verifies otherwise,deployable for SDD fallback/selector use only
Stage37 external t50 safe selector is deployable for dataset-local raw-frame external t50 transfer,supported_cached_verified,external safety floor / comparison baseline,External dataset-local raw-frame t50 safety floor / deployable selector baseline.,true 3D world model; foundation world model; metric prediction; seconds-level; Stage5C executed; SMC enabled,"M3W master summary records all +13.48%, t50 +8.46%, t50 CI [+7.69%, +9.15%], hard/failure +15.54%, easy 0.041%",must retain dataset-local/raw-frame 2.5D caveat unless future calibration verifies otherwise,deployable external t50 safety floor under current dataset-local setup
"M3W-Neural v1 is a protected neural world-state candidate, not ungated neural deployment",supported_cached_verified,protected neural candidate evidence,Protected neural world-state candidate; not ungated neural deployment.,true 3D world model; foundation world model; metric prediction; seconds-level; Stage5C executed; SMC enabled,"M3W-Neural README and master summary record all +21.03%, t50 +13.65%, t100 raw +14.69%, hard/failure +20.38%, easy 0.00%",must retain dataset-local/raw-frame 2.5D caveat unless future calibration verifies otherwise,protected deployment only with floor/safe-switch; not floor-free
Stage42 protected full-waypoint/group-consistency policies are current source-level world-state evidence,supported,main Stage42 world-state evidence,Protected full-waypoint/group-consistency 2.5D world-state evidence.,true 3D world model; foundation world model; metric prediction; seconds-level; Stage5C executed; SMC enabled,"module claim lock supports group_consistency_full_waypoint, full_waypoint_shape, endpoint_bridge",must retain dataset-local/raw-frame 2.5D caveat unless future calibration verifies otherwise,protected deployment only with floor/safe-switch; not floor-free
Stage42-HV provides row-level batch replay for the t100 easy-guard runtime policy,supported_cached_verified,"runtime/replay evidence, raw-frame diagnostic only","Raw-frame t100 replay/runtime evidence only, not seconds-level long-horizon claim.",true 3D world model; foundation world model; metric prediction; seconds-level; Stage5C executed; SMC enabled,rows=47458; all=27.72%; t50=26.99%; t100raw=6.79%; hard=25.93%; t100 easy=-0.31%,must retain dataset-local/raw-frame 2.5D caveat unless future calibration verifies otherwise,diagnostic raw-frame runtime replay
true 3D or foundation world model,blocked,blocked_or_limitation_only,"Limitation/blocker: claim boundary explicitly false in module lock, linter, and replay artifacts",do not present as achieved contribution,"claim boundary explicitly false in module lock, linter, and replay artifacts",blocked claim; may appear only in limitations or next steps,not deployable
global metric or seconds-level performance,blocked,blocked_or_limitation_only,Limitation/blocker: restricted metric/time/source terms ready candidates remain zero; calibration/source confirmation incomplete,do not present as achieved contribution,restricted metric/time/source terms ready candidates remain zero; calibration/source confirmation incomplete,blocked claim; may appear only in limitations or next steps,not deployable
Stage5C latent generative execution or SMC readiness,blocked,blocked_or_limitation_only,Limitation/blocker: all current artifacts keep Stage5C false and SMC false,do not present as achieved contribution,all current artifacts keep Stage5C false and SMC false,blocked claim; may appear only in limitations or next steps,not deployable
JEPA or Transformer as independent main contribution,blocked_or_diagnostic,blocked_or_limitation_only,"Limitation/blocker: module lock blocked modules: ['scene_goal', 'neighbor_interaction', 'JEPA', 'Transformer']",do not present as achieved contribution,"module lock blocked modules: ['scene_goal', 'neighbor_interaction', 'JEPA', 'Transformer']",blocked claim; may appear only in limitations or next steps,not deployable
scene/goal or neighbor/interaction as independent main contribution,blocked_or_diagnostic,blocked_or_limitation_only,Limitation/blocker: Stage42-CJ/CK and context closure select baseline-family control / close current residual context protocol,do not present as achieved contribution,Stage42-CJ/CK and context closure select baseline-family control / close current residual context protocol,blocked claim; may appear only in limitations or next steps,not deployable
new external converted/evaluated metric-time data from HZ/IA/IB,blocked,blocked_or_limitation_only,Limitation/blocker: IB conversion_ready_targets=0; converted=0; evaluated=0,do not present as achieved contribution,IB conversion_ready_targets=0; converted=0; evaluated=0,blocked claim; may appear only in limitations or next steps,not deployable
t100 seconds-level long-horizon prediction,blocked,blocked_or_limitation_only,"Limitation/blocker: Stage42-HV t100 is exact row-level raw-frame replay, not verified seconds-level calibration",do not present as achieved contribution,"Stage42-HV t100 is exact row-level raw-frame replay, not verified seconds-level calibration",blocked claim; may appear only in limitations or next steps,not deployable
