min_sep,margin,eligible,score,guarded_off,val_all,val_t50,val_t100,val_hard,val_easy,val_near_collision_005_delta,val_switch_rate
0.0,0.0,False,0.09934337903324611,0,0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.002032252601471496,0.13592834610184767
0.0,0.005,False,0.09934337903324611,0,0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.002032252601471496,0.13592834610184767
0.0,0.01,False,0.09934337903324611,0,0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.002032252601471496,0.13592834610184767
0.05,0.0,False,-0.025171593222101718,3306,-0.004499595450009775,-0.007072961990685744,-0.0060129932241927975,-0.005054544402022465,0.001580816710069488,-0.0008655890709971525,0.07385083370887788
0.05,0.005,True,0.0716420608259204,1443,0.014799201476683788,0.007596556187570158,0.03002001918602626,0.01662443253164314,0.002287960015135093,-0.0005268803040852088,0.10883280757097792
0.05,0.01,False,0.11194213616581838,631,0.023554508723070078,0.013393369470425465,0.04692835690357222,0.026459558760627222,0.0020018499404212964,0.00015053722973862316,0.12407991587802314
0.08,0.0,False,-0.021684195734625926,3506,-0.00392503294354607,-0.005785871436311041,-0.005496207470457648,-0.00440911933371968,0.0014327007785095436,-0.001091394915605115,0.07009538831305392
0.08,0.005,True,0.07405239332406185,1573,0.015223606276886237,0.008314460819827119,0.030553968225903616,0.017101180481739253,0.0022691645327514998,-0.0006209660726718691,0.10639176806369235
0.08,0.01,False,0.11446085870302108,711,0.023751511423606875,0.013578354228282796,0.047273143319509714,0.02668085841039458,0.0020033759452782185,7.526861486928382e-05,0.12257773771969356
0.12,0.0,False,-0.020317006191547485,3593,-0.0037195673840155763,-0.005156839585703343,-0.005421746285216411,-0.004178313074518991,0.0015377230302293654,-0.001110212069322436,0.06846176956587051
0.12,0.005,True,0.0752370028389786,1629,0.015410209590112078,0.008805542809919964,0.030674033121176225,0.017310798155759977,0.0023907701364669354,-0.00063978322638919,0.10534024335286164
0.12,0.01,False,0.11551352905465656,749,0.023856045578947382,0.013871325801948053,0.04732871894944557,0.026798285084762452,0.0022044440181916425,5.645146115196287e-05,0.121864203094487
0.2,0.0,False,-0.019980904857867434,3686,-0.0036661454845494656,-0.005020516017448129,-0.00538458396139907,-0.00411830248781353,0.0016179987952840147,-0.001110212069322436,0.06671548745681238
0.2,0.005,True,0.07532463104197197,1698,0.015405620249765106,0.008957561014464654,0.030563789017629794,0.017305642797946663,0.0024710459015215847,-0.0006209660726718691,0.10404461469130238
0.2,0.01,False,0.11493749265896584,795,0.023810692738602146,0.013875952591968388,0.04721847484589892,0.026747338739067872,0.0022044440181916425,7.526861486928382e-05,0.1210004506534475
