section,name,source,all,t50,t100_raw_frame_diagnostic,hard_failure,easy_degradation,delta_all,delta_t50,delta_hard,interpretation
row_level,floor_only,fresh_reference,0.0,0.0,0.0,0.0,0.0,0.0900136608879362,0.06109367671246102,0.09374591375146946,Strongest/teacher floor reference; all improvements are zero by definition.
row_level,stage42j_static_expert_only,cached_verified_stage42r_row_cache,0.03622211410797116,0.03687534846076057,0.026738243344936168,0.03970549857571178,0.0,0.053791546779965047,0.02421832825170045,0.054040415175757674,Uses the static-gated full-waypoint expert without Stage42-P/UCY integration.
row_level,stage42p_gain_harm_only,cached_verified_stage42r_row_cache,0.05153704104193376,0.0065955990643286055,0.05925428082731558,0.05325620642069262,0.008580272918299992,0.038476619846002445,0.054498077648132415,0.040489707330776836,Uses the t50 gain/harm selector source without Stage42-J/UCY integration.
row_level,stage42s_combo_no_ucy_source,cached_verified_stage42s_row_cache,0.05238704221741153,0.03793420310086152,0.04184584975029467,0.05479172593908743,0.001101978371627214,0.03762661867052468,0.0231594736115995,0.038954187812382024,Stage42-S row combo leaves UCY fallback-only; loss vs Stage42-X quantifies UCY full-waypoint source contribution.
row_level,stage42x_unified_full,fresh_run_row_level_unified_cache,0.0900136608879362,0.06109367671246102,0.08153326024168321,0.09374591375146946,0.001101978371627214,0.0,0.0,0.0,"Full Stage42-X row-level merged cache over ETH_UCY, TrajNet, and UCY."
retrained_sequence,history tokens,fresh_run,0.3304355789876775,0.32554495133960887,0.3585103910963155,0.3372746847605039,-0.3256412431992857,0.4480355451357656,0.457817280518282,0.47079873325328386,ablation=sequence_no_history_tokens
retrained_sequence,domain expert,fresh_run,0.7369295383136194,0.7414769743658925,0.893435911421307,0.768206646252081,-0.6963264311534142,0.0415415858098237,0.04188525749199834,0.03986677176170672,ablation=sequence_no_domain_expert
retrained_sequence,goal/scene tokens,fresh_run,0.7731505704668217,0.7876211484182892,0.9118188737123679,0.8037016848055435,-0.7571316550217917,0.0053205536566214295,-0.00425891656039834,0.004371733208244244,ablation=sequence_no_goal_scene_tokens
retrained_sequence,neighbor/interaction tokens,fresh_run,0.778549392169928,0.782063751648341,0.917928855104648,0.8094168572093686,-0.7497884260727141,-7.826804648491947e-05,0.0012984802095499237,-0.0013434391955808866,ablation=sequence_no_neighbor_interaction_tokens
