model,branch_count,ADE@1,FDE@1,minADE@N@1,minFDE@N@1,ADE@10,FDE@10,minADE@N@10,minFDE@N@10,ADE@25,FDE@25,minADE@N@25,minFDE@N@25,ADE@50,FDE@50,minADE@N@50,minFDE@N@50,ADE@100,FDE@100,minADE@N@100,minFDE@N@100,coverage_FDE_lt_1m,coverage_FDE_lt_2m,coverage_FDE_lt_5m,coverage_FDE_lt_10m,physical_validity_rate,boundary_violation_rate,collision_violation_rate,speed_violation_rate,acceleration_violation_rate,status,reason
constant_velocity_native_velocity,1,0.00053,0.00053,0.00053,0.00053,0.0056,0.01143,0.0056,0.01143,0.01501,0.03036,0.01501,0.03036,0.03267,0.06399,0.03267,0.06399,0.06245,0.12288,0.06245,0.12288,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,
constant_velocity_causal_fd,1,0.00053,0.00053,0.00053,0.00053,0.0056,0.01143,0.0056,0.01143,0.01501,0.03036,0.01501,0.03036,0.03267,0.06399,0.03267,0.06399,0.06245,0.12288,0.06245,0.12288,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,
constant_velocity_central_fd_diagnostic,1,0.00027,0.00027,0.00027,0.00027,0.00448,0.00957,0.00448,0.00957,0.01298,0.02693,0.01298,0.02693,0.02921,0.05825,0.02921,0.05825,0.05527,0.10646,0.05527,0.10646,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,
constant_acceleration_causal,1,0.00039,0.00039,0.00039,0.00039,0.00752,0.02084,0.00752,0.02084,0.0508,0.14989,0.0508,0.14989,0.21353,0.64402,0.21353,0.64402,0.86724,2.57365,0.86724,2.57365,0.0,0.33333,1.0,1.0,1.0,,0.0,0.13531,0.0,,
damped_velocity,1,0.00053,0.00053,0.00053,0.00053,0.00538,0.0107,0.00538,0.0107,0.0135,0.02598,0.0135,0.02598,0.02698,0.04785,0.02698,0.04785,0.04265,0.07066,0.04265,0.07066,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,
constant_turn_rate_velocity,1,0.00057,0.00057,0.00057,0.00057,0.00675,0.01397,0.00675,0.01397,0.01571,0.02698,0.01571,0.02698,0.02573,0.0379,0.02573,0.0379,0.03398,0.0482,0.03398,0.0482,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,
identity_hand_physics,1,0.00053,0.00053,0.00053,0.00053,0.0056,0.01143,0.0056,0.01143,0.01501,0.03036,0.01501,0.03036,0.03267,0.06399,0.03267,0.06399,0.06245,0.12288,0.06245,0.12288,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,
tuned_hand_physics,1,0.00053,0.00053,0.00053,0.00053,0.0056,0.01143,0.0056,0.01143,0.01501,0.03036,0.01501,0.03036,0.03267,0.06399,0.03267,0.06399,0.06245,0.12288,0.06245,0.12288,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,
residual_over_constant_velocity,1,0.00032,0.00032,0.00032,0.00032,0.00322,0.00726,0.00322,0.00726,0.01481,0.0393,0.01481,0.0393,0.04903,0.12442,0.04903,0.12442,0.24119,1.15487,0.24119,1.15487,0.66667,0.66667,1.0,1.0,1.0,,0.0,0.09571,0.0264,,
residual_over_constant_acceleration,1,0.00032,0.00032,0.00032,0.00032,0.00321,0.00725,0.00321,0.00725,0.0148,0.0393,0.0148,0.0393,0.04901,0.12423,0.04901,0.12423,0.23962,1.14498,0.23962,1.14498,0.66667,0.66667,1.0,1.0,1.0,,0.0,0.09571,0.0264,,
residual_over_tuned_hand_physics,1,0.00037,0.00037,0.00037,0.00037,0.00743,0.02066,0.00743,0.02066,0.10527,0.48015,0.10527,0.48015,0.76196,1.87091,0.76196,1.87091,3.0218,8.92705,3.0218,8.92705,0.0,0.0,0.0,0.66667,1.0,,0.0,0.73597,0.63696,,
residual_over_constant_velocity_with_multistep_loss,1,0.0171,0.0171,0.0171,0.0171,3.38581,10.23662,3.38581,10.23662,26.81826,80.91337,26.81826,80.91337,115.40368,347.50721,115.40368,347.50721,479.45455,1442.48877,479.45455,1442.48877,0.0,0.0,0.0,0.0,1.0,,0.0,0.967,0.9769,,
best_model_SMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premature,deterministic learned model is not competitive with strongest causal baseline
